ID,URL,new_filename,new_filelocation
96,https://www.memphis.edu/jrsm/undergraduate_programs/advertising.php                                 ,96.txt,preprocessed/httpswwwmemphisedujrsmundergraduateprogramsadvertisingphp.txt                         
97,https://www.memphis.edu/architecture/docs/pos.bfa.inar.pdf                                          ,97.txt,preprocessed/httpswwwmemphiseduarchitecturedocsposbfainarpdf.txt                                   
98,https://www.memphis.edu/theatre/academicprograms/bfadance.php                                       ,98.txt,preprocessed/httpswwwmemphisedutheatreacademicprogramsbfadancephp.txt                              
99,https://www.memphis.edu/theatre/academicprograms/bfaperformance.php                                 ,99.txt,preprocessed/httpswwwmemphisedutheatreacademicprogramsbfaperformancephp.txt                        
100,https://www.memphis.edu/theatre/academicprograms/bfamt.php                                          ,100.txt,preprocessed/httpswwwmemphisedutheatreacademicprogramsbfamtphp.txt                                 
101,https://www.memphis.edu/theatre/academicprograms/bfadesign.php                                      ,101.txt,preprocessed/httpswwwmemphisedutheatreacademicprogramsbfadesignphp.txt                             
102,https://www.memphis.edu/communication/undergraduate/ug_fvp.php                                      ,102.txt,preprocessed/httpswwwmemphiseducommunicationundergraduateugfvpphp.txt                              
103,https://www.memphis.edu/theatre/dancescience.php                                                    ,103.txt,preprocessed/httpswwwmemphisedutheatredancesciencephp.txt                                          
104,https://www.memphis.edu/music/academics/popular_studies.php                                         ,104.txt,preprocessed/httpswwwmemphisedumusicacademicspopularstudiesphp.txt                                 
105,https://www.memphis.edu/music/academics/jazz.php                                                    ,105.txt,preprocessed/httpswwwmemphisedumusicacademicsjazzphp.txt                                           
106,https://www.memphis.edu/music/academics/performance.php                                             ,106.txt,preprocessed/httpswwwmemphisedumusicacademicsperformancephp.txt                                    
107,https://www.memphis.edu/music/academics/mus_bus.php                                                 ,107.txt,preprocessed/httpswwwmemphisedumusicacademicsmusbusphp.txt                                         
108,https://www.memphis.edu/music/academics/engineering.php                                             ,108.txt,preprocessed/httpswwwmemphisedumusicacademicsengineeringphp.txt                                    
109,https://www.memphis.edu/music/academics/comp-theory.php                                             ,109.txt,preprocessed/httpswwwmemphisedumusicacademicscomptheoryphp.txt                                     
110,https://www.memphis.edu/music/academics/mushist.php                                                 ,110.txt,preprocessed/httpswwwmemphisedumusicacademicsmushistphp.txt                                        
111,https://www.memphis.edu/communication/undergraduate/comm_studies.php                                ,111.txt,preprocessed/httpswwwmemphiseducommunicationundergraduatecommstudiesphp.txt                        
112,https://www.memphis.edu/music/academics/mused.php                                                   ,112.txt,preprocessed/httpswwwmemphisedumusicacademicsmusedphp.txt                                          
113,https://www.memphis.edu/music/academics/degreeplans.php                                             ,113.txt,preprocessed/httpswwwmemphisedumusicacademicsdegreeplansphp.txt                                    
114,https://www.memphis.edu/art/programs/ma_arthistory.php                                              ,114.txt,preprocessed/httpswwwmemphiseduartprogramsmaarthistoryphp.txt                                      
115,https://www.memphis.edu/communication/graduate/ma_program/ma_overview.php                           ,115.txt,preprocessed/httpswwwmemphiseducommunicationgraduatemaprogrammaoverviewphp.txt                     
116,https://www.memphis.edu/art/programs/mfa_studio_arts.php                                            ,116.txt,preprocessed/httpswwwmemphiseduartprogramsmfastudioartsphp.txt                                     
117,https://www.memphis.edu/theatre/academicprograms/mfaintheatre.php                                   ,117.txt,preprocessed/httpswwwmemphisedutheatreacademicprogramsmfaintheatrephp.txt                          
118,https://www.memphis.edu/communication/graduate/phd.php                                              ,118.txt,preprocessed/httpswwwmemphiseducommunicationgraduatephdphp.txt                                     
119,https://www.memphis.edu/icl/programs/secondarymathematics.php                                       ,119.txt,preprocessed/httpswwwmemphiseduiclprogramssecondarymathematicsphp.txt                              
120,https://www.memphis.edu/cepr/counseling/admissions.php                                              ,120.txt,preprocessed/httpswwwmemphiseduceprcounselingadmissionsphp.txt                                     
121,https://www.memphis.edu/lead/programs/hiad.php                                                      ,121.txt,preprocessed/httpswwwmemphiseduleadprogramshiadphp.txt                                             
122,https://www.memphis.edu/icl/degrees.php                                                             ,122.txt,preprocessed/httpswwwmemphiseduicldegreesphp.txt                                                   
123,https://www.memphis.edu/lead/programs/ldps.php                                                      ,123.txt,preprocessed/httpswwwmemphiseduleadprogramsldpsphp.txt                                             
124,https://www.memphis.edu/icl/advising/edd.php                                                        ,124.txt,preprocessed/httpswwwmemphiseduicladvisingeddphp.txt                                               
125,https://www.memphis.edu/cepr/counseling/cmh.php                                                     ,125.txt,preprocessed/httpswwwmemphiseduceprcounselingcmhphp.txt                                            
126,https://www.memphis.edu/cepr/counseling/edd.php                                                     ,126.txt,preprocessed/httpswwwmemphiseduceprcounselingeddphp.txt                                            
127,https://www.memphis.edu/cepr/edpr/masters.php                                                       ,127.txt,preprocessed/httpswwwmemphiseducepredprmastersphp.txt                                              
128,https://www.memphis.edu/healthsciences/undergraduate/pete.php                                       ,128.txt,preprocessed/httpswwwmemphiseduhealthsciencesundergraduatepetephp.txt                              
129,https://www.memphis.edu/healthsciences/undergraduate/sportcoaching.php                              ,129.txt,preprocessed/httpswwwmemphiseduhealthsciencesundergraduatesportcoachingphp.txt                     
130,https://www.memphis.edu/healthsciences/undergraduate/esms.php                                       ,130.txt,preprocessed/httpswwwmemphiseduhealthsciencesundergraduateesmsphp.txt                              
131,https://www.memphis.edu/healthsciences/undergraduate/dietetics.php                                  ,131.txt,preprocessed/httpswwwmemphiseduhealthsciencesundergraduatedieteticsphp.txt                         
132,https://www.memphis.edu/healthsciences/undergraduate/health_sciences.php                            ,132.txt,preprocessed/httpswwwmemphiseduhealthsciencesundergraduatehealthsciencesphp.txt                    
133,https://www.memphis.edu/healthsciences/undergraduate/healthcare_lead.php                            ,133.txt,preprocessed/httpswwwmemphiseduhealthsciencesundergraduatehealthcareleadphp.txt                    
134,https://www.memphis.edu/healthsciences/undergraduate/medical_assisting.php                          ,134.txt,preprocessed/httpswwwmemphiseduhealthsciencesundergraduatemedicalassistingphp.txt                  
135,https://www.memphis.edu/healthsciences/undergraduate/nutritionhealthwellnessminor.php               ,135.txt,preprocessed/httpswwwmemphiseduhealthsciencesundergraduatenutritionhealthwellnessminorphp.txt      
136,https://www.memphis.edu/healthsciences/graduate/clinicalnutrition.php                               ,136.txt,preprocessed/httpswwwmemphiseduhealthsciencesgraduateclinicalnutritionphp.txt                      
137,https://www.memphis.edu/healthsciences/graduate/exercisenutrition_ms.php                            ,137.txt,preprocessed/httpswwwmemphiseduhealthsciencesgraduateexercisenutritionmsphp.txt                    
138,https://www.memphis.edu/healthsciences/graduate/esms_ms.php                                         ,138.txt,preprocessed/httpswwwmemphiseduhealthsciencesgraduateesmsmsphp.txt                                 
139,https://www.memphis.edu/healthsciences/graduate/environmental_nutrition.php                         ,139.txt,preprocessed/httpswwwmemphiseduhealthsciencesgraduateenvironmentalnutritionphp.txt                 
140,https://www.memphis.edu/healthsciences/graduate/hpro_ms.php                                         ,140.txt,preprocessed/httpswwwmemphiseduhealthsciencesgraduatehpromsphp.txt                                 
141,https://www.memphis.edu/healthsciences/graduate/nutrition_science.php                               ,141.txt,preprocessed/httpswwwmemphiseduhealthsciencesgraduatenutritionsciencephp.txt                       
142,https://www.memphis.edu/healthsciences/graduate/pete-ms.php                                         ,142.txt,preprocessed/httpswwwmemphiseduhealthsciencesgraduatepetemsphp.txt                                 
143,https://www.memphis.edu/cpls/programs/muet.php                                                      ,143.txt,preprocessed/httpswwwmemphiseducplsprogramsmuetphp.txt                                             
144,https://www.memphis.edu/honors/opportunities/child_development_and_family_studies.php               ,144.txt,preprocessed/httpswwwmemphiseduhonorsopportunitieschilddevelopmentandfamilystudiesphp.txt          
145,https://www.memphis.edu/cpls/programs/ecln.php                                                      ,145.txt,preprocessed/httpswwwmemphiseducplsprogramseclnphp.txt                                             
146,https://www.memphis.edu/cpls/programs/psca.php                                                      ,146.txt,preprocessed/httpswwwmemphiseducplsprogramspscaphp.txt                                             
147,https://www.memphis.edu/cpls/programs/hlsv.php                                                      ,147.txt,preprocessed/httpswwwmemphiseducplsprogramshlsvphp.txt                                             
148,https://www.memphis.edu/cpls/programs/lgst.php                                                      ,148.txt,preprocessed/httpswwwmemphiseducplsprogramslgstphp.txt                                             
149,https://www.memphis.edu/cpls/programs/avia.php                                                      ,149.txt,preprocessed/httpswwwmemphiseducplsprogramsaviaphp.txt                                             
150,https://www.memphis.edu/cpls/programs/adas.php                                                      ,150.txt,preprocessed/httpswwwmemphiseducplsprogramsadasphp.txt                                             
151,https://www.memphis.edu/cpls/programs/dsrs.php                                                      ,151.txt,preprocessed/httpswwwmemphiseducplsprogramsdsrsphp.txt                                             
152,https://www.memphis.edu/cpls/programs/emgt.php                                                      ,152.txt,preprocessed/httpswwwmemphiseducplsprogramsemgtphp.txt                                             
153,https://www.memphis.edu/cpls/programs/mfth.php                                                      ,153.txt,preprocessed/httpswwwmemphiseducplsprogramsmfthphp.txt                                             
154,https://www.memphis.edu/cpls/programs/orld.php                                                      ,154.txt,preprocessed/httpswwwmemphiseducplsprogramsorldphp.txt                                             
155,https://www.memphis.edu/padm/undergraduate/index.php                                                ,155.txt,preprocessed/httpswwwmemphisedupadmundergraduateindexphp.txt                                       
